ChEMBL_ID,UniProt_Accession
CHEMBL2396661,Q8IW41
CHEMBL2396661,Q9Y243
CHEMBL2396661,P08069
CHEMBL2396661,Q9H773
CHEMBL2396661,Q7L7X3
CHEMBL2396661,Q96RR4
CHEMBL2396661,O60885
CHEMBL2396661,O94806
CHEMBL2396661,Q00526
CHEMBL2396661,P51956
CHEMBL2396661,P45983
CHEMBL2396661,Q05397
CHEMBL2396661,Q15569
CHEMBL2396661,Q9H0K1
CHEMBL2396661,Q16539
CHEMBL2396661,P54760
CHEMBL2396661,Q8IVH8
CHEMBL2396661,P23443
CHEMBL2396661,P22607
CHEMBL2396661,P52564
CHEMBL2396661,Q9UHD8
CHEMBL2396661,P07947
CHEMBL2396661,P38117
CHEMBL2396661,P16083
CHEMBL2396661,P30086
CHEMBL2396661,O14976
CHEMBL2396661,Q13164
CHEMBL2396661,Q86TW2
CHEMBL2396661,P27707
CHEMBL2396661,Q9Y2K2
CHEMBL2396661,Q01813
CHEMBL2396661,Q9NSY1
CHEMBL2396661,P49841
CHEMBL2396661,P48729
CHEMBL2396661,Q9NTK5
CHEMBL2396661,O75676
CHEMBL2396661,Q15746
CHEMBL2396661,P36507
CHEMBL2396661,Q9Y572
CHEMBL2396661,O15197
CHEMBL2396661,Q2M2I8
CHEMBL2396661,Q99683
CHEMBL2396661,Q9H093
CHEMBL2396661,P54819
CHEMBL2396661,P54764
CHEMBL2396661,Q13043
CHEMBL2396661,Q08345
CHEMBL2396661,P15735
CHEMBL2396661,P53667
CHEMBL2396661,Q9Z1L0
CHEMBL2396661,Q9UBN7
CHEMBL2396661,Q9BZE4
CHEMBL2396661,P49840
CHEMBL2396661,P51812
CHEMBL2396661,Q04759
CHEMBL2396661,O43353
CHEMBL2396661,P27986
CHEMBL2396661,O00329
CHEMBL2396661,P31749
CHEMBL2396661,Q13535
CHEMBL2396661,Q16832
CHEMBL2396661,P08581
CHEMBL2396661,P49589
CHEMBL2396661,P08574
CHEMBL2396661,Q9H0A0
CHEMBL2396661,Q8NEB9
CHEMBL2396661,Q9NYL2
CHEMBL2396661,P11274
CHEMBL2396661,O15254
CHEMBL2396661,O75385
CHEMBL2396661,Q9Y2U5
CHEMBL2396661,Q9NSD9
CHEMBL2396661,P27448
CHEMBL2396661,P31153
CHEMBL2396661,P55201
CHEMBL2396661,Q96PY6
CHEMBL2396661,Q9UL54
CHEMBL2070241,P0DTD1
CHEMBL2070241,Q9UBN7
CHEMBL2070241,P32245
CHEMBL2070241,P33032
CHEMBL2070241,Q01726
CHEMBL2070241,P41968
CHEMBL207538,O15648
CHEMBL207538,O75795
CHEMBL207538,P18508
CHEMBL207538,P62813
CHEMBL207538,P63138
CHEMBL207538,O75496
CHEMBL207538,P02545
CHEMBL207538,Q9NPD5
CHEMBL207538,P14867
CHEMBL207538,P47870
CHEMBL207538,P18507
CHEMBL207538,P28472
CHEMBL207538,P48169
CHEMBL207538,Q99928
CHEMBL207538,Q9UN88
CHEMBL207538,P34903
CHEMBL207538,O00591
CHEMBL207538,O14764
CHEMBL207538,Q8N1C3
CHEMBL207538,P18505
CHEMBL207538,P78334
CHEMBL207538,P47869
CHEMBL207538,P31644
